asking_price,address_line1,address_city,address_state,address_zip
1,3757385,69625 Lesch Cove,Whiteland,MD,69550
2,2933275,368 Ken Ferry,West Veronicamouth,OK,89534
3,5643643,2388 Robel Path,Port Amyland,SC,96862
4,3690670,51059 Schneider Creek,New Alexisburgh,VA,05638
5,120361,4823 Vena Brook,Lake Augusta,SD,61310
6,6261626,13964 Huels Manor,West Virginiechester,AK,37123
7,9456169,6017 Reese Divide,Satterfieldmouth,KY,36164
8,302591,87890 Waters Tunnel,Port Corineland,CO,07993
9,2754674,289 Nicolas Wells,Danieltown,NE,14855
10,2948829,67095 Sawayn Via,South Sonnyfort,ND,93613
11,788488,5478 Wuckert Lakes,Lake Meredith,AK,40649
12,4722954,08191 Ziemann Ports,Millstown,IN,31540
13,2001701,5941 Hilda Ways,Kuhnport,VT,39701
14,2761438,7159 Hobart Fields,Alexiston,GA,65482
15,9158013,7713 Murphy Walk,West Allenville,UT,67543
16,4996584,611 Hilpert Rapids,Lake Garfield,VA,03041
17,6964607,76961 Auer Branch,Giovaniville,UT,06320
18,851137,47891 Hane Manors,Gretamouth,NM,72765
19,6879596,40445 Stephen Park,Ebbaville,WA,55615
20,8348209,067 Myriam Well,East Antoniashire,NJ,39356
21,3271547,67569 Hackett Spring,Ibrahimhaven,FL,76307
22,2398562,86707 Durgan Corners,South Nayeliport,NE,58938
23,9128521,56813 Myles Walks,Brakusland,OK,39922
24,864972,6245 Hilll Inlet,East Fabiolashire,WA,11048
25,1546179,69036 Vena Mountains,Mertzside,NM,47598
